user_id,product_0,product_1,product_2,product_3,product_4,product_5,product_6,product_7,product_8,product_9,product_10,product_11,product_12,product_13,product_14,product_15,product_16,product_17,product_18,product_19
38,2,1,2,5,3,1,2,1,1,3,5,1,2,4,1,1,3,5,4,2
39,4,2,5,2,3,3,3,3,4,5,2,2,3,3,1,5,4,2,1,1
40,2,4,1,1,5,4,1,4,2,3,1,5,2,4,2,1,4,3,2,1
41,5,4,2,2,3,3,5,5,1,1,5,5,4,3,1,3,3,5,4,2
42,4,4,3,4,1,3,1,2,3,2,3,5,4,5,2,4,3,4,1,4
43,1,4,1,2,5,3,4,5,3,3,1,2,2,5,2,4,2,5,2,4
44,1,5,1,1,1,3,3,1,5,4,4,2,5,3,1,2,4,3,3,1
45,4,5,3,1,5,4,3,5,5,5,3,3,2,4,1,5,2,1,2,3
46,5,1,1,1,1,1,2,5,3,3,3,3,2,4,5,1,4,3,4,5
47,1,1,5,5,3,1,4,2,2,5,3,2,1,5,4,5,4,5,5,5
48,4,4,5,2,3,3,3,4,4,2,3,3,5,4,3,2,2,3,4,2
49,5,2,1,1,4,3,4,4,4,4,5,5,2,1,4,2,1,3,5,1
50,3,1,5,5,2,4,1,1,3,5,1,5,1,2,4,1,5,2,1,3
51,4,1,2,3,2,2,3,2,3,1,3,3,4,3,3,1,4,5,1,1
52,5,3,2,4,2,5,1,1,4,1,1,4,4,5,1,1,5,3,3,3
53,5,1,5,5,3,2,1,3,2,2,4,1,2,3,4,1,5,3,2,2
54,3,2,4,1,4,2,5,1,1,3,3,5,1,5,3,3,1,4,2,3
55,3,4,4,5,5,2,2,1,5,3,5,3,4,5,4,2,2,1,5,4
56,3,2,2,3,4,4,5,5,1,2,5,4,3,4,2,4,1,2,3,1
57,2,3,1,1,2,5,1,1,3,4,2,2,5,5,2,5,3,2,5,2
58,4,1,2,1,5,1,2,4,5,2,5,3,1,3,2,4,5,1,5,2
59,5,1,2,5,4,2,2,4,3,1,3,5,4,3,2,5,5,3,3,4
60,1,3,3,2,5,1,2,4,4,3,3,4,3,1,3,5,3,2,1,2
61,2,5,1,1,1,1,1,5,3,2,1,3,3,2,5,4,4,3,2,4
62,3,5,4,3,3,1,5,1,2,1,1,4,3,5,1,5,1,2,1,4
63,3,2,1,5,2,2,1,2,5,2,5,1,3,2,3,5,2,4,3,2
64,3,2,1,3,4,4,5,2,3,5,3,2,4,1,4,5,1,5,2,1
65,5,2,4,2,3,2,2,3,5,5,2,3,3,4,5,1,5,5,4,1
66,4,1,2,1,4,5,1,1,3,5,2,4,2,5,1,1,5,1,1,1
67,4,4,3,2,5,5,5,3,4,3,5,2,1,4,4,3,4,5,5,3
68,5,2,3,2,1,2,1,1,2,3,5,5,1,1,3,4,2,1,5,3
69,2,3,2,2,1,3,3,5,5,1,1,4,5,2,3,1,3,3,4,5
70,1,3,1,2,4,2,1,1,5,3,3,2,4,3,5,2,2,5,4,5
71,4,5,5,1,2,5,5,3,2,3,2,3,5,5,1,3,4,1,3,3
72,1,5,3,5,1,5,2,4,3,4,5,3,5,2,1,3,2,2,3,5
73,2,4,2,5,5,4,2,5,3,1,1,1,2,4,5,3,3,2,1,2
74,4,4,5,5,4,4,4,2,4,3,1,4,1,2,1,2,3,2,2,5
75,4,4,3,3,4,5,4,5,3,1,3,3,2,2,2,2,5,4,1,3
76,5,1,5,5,3,4,2,4,3,3,3,1,4,4,5,5,5,3,4,3
77,1,5,3,3,1,2,4,2,5,3,1,1,4,2,4,3,4,1,1,5
78,5,3,2,4,3,5,4,5,4,2,3,4,1,1,4,4,4,1,1,4
79,5,5,2,3,5,1,5,2,2,3,5,1,1,4,1,3,3,1,1,4
80,1,4,4,1,2,2,4,1,2,1,1,1,5,1,5,4,2,2,2,2
81,2,2,2,4,1,3,5,3,3,1,1,1,2,4,2,4,4,3,3,4
82,4,2,2,3,1,4,2,3,2,4,4,5,1,5,3,2,3,4,5,5
83,5,3,4,2,2,3,5,1,3,3,4,2,3,3,5,5,1,4,1,5
84,2,5,4,5,4,4,4,4,4,2,1,3,1,4,2,5,2,4,2,2
85,4,2,3,3,2,5,4,3,5,2,5,1,3,2,4,2,4,2,5,5
86,5,1,4,5,1,4,2,1,3,1,1,4,2,3,5,5,1,4,4,5
87,3,2,3,2,5,2,4,1,1,5,4,3,4,1,1,4,4,1,3,5
88,5,4,5,1,1,4,4,4,3,5,4,2,2,1,5,4,2,5,1,3
89,5,5,3,5,1,1,3,4,2,4,5,2,3,3,2,1,2,5,1,3
90,2,4,4,5,4,2,2,4,2,5,1,5,5,2,1,2,3,2,2,2
91,1,2,1,4,3,1,4,1,1,3,5,5,1,2,4,2,2,1,1,1
92,1,5,1,5,5,1,3,4,2,5,4,3,2,2,5,1,3,5,3,1
93,1,5,1,4,2,5,3,4,5,1,1,1,1,3,4,2,3,3,2,2
94,1,3,5,2,2,4,5,5,2,1,4,5,2,5,4,4,3,2,4,3
95,3,5,5,3,5,4,1,4,3,3,4,5,5,3,2,5,4,5,4,3
96,5,4,3,2,4,2,2,1,5,4,2,1,3,4,2,5,1,2,5,2
97,4,4,4,1,4,5,2,3,5,5,4,1,2,1,2,2,1,5,2,1
98,2,3,5,4,2,3,4,4,2,1,2,3,4,2,1,2,5,1,3,4
99,2,1,5,1,5,3,4,3,2,1,5,5,1,1,2,3,5,2,3,2
